# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'LLC-load-misses'
# Event count (approx.): 6563415
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                       
# ........  ...............  ....................  .............................................................................................................................................................................
#
     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] calculate_sigpending
     0.00%  G1 Refine#0      [kernel.kallsyms]     [k] prepare_exit_to_usermode
     0.00%  G1 Refine#0      [kernel.kallsyms]     [k] swapgs_restore_regs_and_return_to_usermode
     0.00%  G1 Refine#18     [kernel.kallsyms]     [k] __schedule
     0.00%  G1 Refine#4      [kernel.kallsyms]     [k] prepare_exit_to_usermode
     0.00%  GC Thread#0      [kernel.kallsyms]     [k] futex_wait_queue_me
     0.00%  GC Thread#11     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  GC Thread#12     [kernel.kallsyms]     [k] hrtimer_active
     0.00%  GC Thread#15     [kernel.kallsyms]     [k] cpumask_next_wrap
     0.00%  GC Thread#15     [kernel.kallsyms]     [k] raise_softirq
     0.00%  GC Thread#15     [kernel.kallsyms]     [k] select_task_rq_fair
     0.00%  GC Thread#16     [kernel.kallsyms]     [k] do_futex
     0.00%  GC Thread#19     [kernel.kallsyms]     [k] scheduler_ipi
     0.00%  GC Thread#22     [kernel.kallsyms]     [k] pick_next_task_fair
     0.00%  GC Thread#22     [kernel.kallsyms]     [k] update_load_avg
     0.00%  GC Thread#22     libpthread-2.28.so    [.] pthread_mutex_unlock
     0.00%  GC Thread#4      [kernel.kallsyms]     [k] futex_wait
     0.00%  GC Thread#4      [kernel.kallsyms]     [k] futex_wait_queue_me
     0.00%  GC Thread#6      [kernel.kallsyms]     [k] futex_wait_queue_me
     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] futex_wait
     0.00%  VM Thread        [kernel.kallsyms]     [k] futex_wait
     0.00%  VM Thread        [kernel.kallsyms]     [k] schedule_tail
     0.00%  DPU_MRAM_0100    [kernel.kallsyms]     [k] calculate_sigpending
     0.00%  DPU_MRAM_0101    [kernel.kallsyms]     [k] recalc_sigpending
     0.00%  DPU_MRAM_0103    [kernel.kallsyms]     [k] recalc_sigpending_tsk
     0.00%  DPU_WORK_0000    [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.00%  G1 Refine#0      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#0      [kernel.kallsyms]     [k] futex_wait
     0.00%  G1 Refine#14     [kernel.kallsyms]     [k] calculate_sigpending
     0.00%  G1 Refine#8      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  GC Thread#1      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  GC Thread#1      [kernel.kallsyms]     [k] futex_wait
     0.00%  GC Thread#16     [kernel.kallsyms]     [k] __x64_sys_futex
     0.00%  GC Thread#17     [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.00%  GC Thread#22     libjvm.so             [.] G1Allocator::old_attempt_allocation
     0.00%  GC Thread#22     libjvm.so             [.] G1BlockOffsetTablePart::alloc_block_work
     0.00%  GC Thread#9      [kernel.kallsyms]     [k] rcu_all_qs
     0.00%  VM Thread        libjvm.so             [.] StrongRootsScope::StrongRootsScope
     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] finish_task_switch
     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] futex_wait
     0.00%  DPU_MRAM_0101    [kernel.kallsyms]     [k] finish_task_switch
     0.00%  DPU_POLL_0000    libc-2.28.so          [.] clone
     0.00%  G1 Refine#19     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#20     [kernel.kallsyms]     [k] futex_wait
     0.00%  G1 Refine#22     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#3      [kernel.kallsyms]     [k] swapgs_restore_regs_and_return_to_usermode
     0.00%  G1 Refine#6      [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.00%  G1 Refine#6      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  GC Thread#10     [kernel.kallsyms]     [k] schedule
     0.00%  GC Thread#14     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#17     [kernel.kallsyms]     [k] __x64_sys_futex
     0.00%  GC Thread#19     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#19     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  java             [kernel.kallsyms]     [k] calculate_sigpending
     0.00%  DPU_MRAM_0100    [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#10     [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.00%  G1 Refine#11     [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.00%  G1 Refine#12     [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.00%  G1 Refine#21     [kernel.kallsyms]     [k] schedule_tail
     0.00%  G1 Refine#4      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#0      [kernel.kallsyms]     [k] futex_wait
     0.00%  GC Thread#13     [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.00%  GC Thread#14     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  GC Thread#15     [kernel.kallsyms]     [k] __schedule
     0.00%  GC Thread#15     [kernel.kallsyms]     [k] mark_wake_futex
     0.00%  GC Thread#16     [kernel.kallsyms]     [k] schedule
     0.00%  GC Thread#17     [kernel.kallsyms]     [k] schedule
     0.00%  GC Thread#18     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#18     [kernel.kallsyms]     [k] futex_wait_queue_me
     0.00%  GC Thread#22     [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.00%  java             [sunrpc]              [k] rpc_wait_bit_killable
     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] recalc_sigpending_tsk
     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] prepare_exit_to_usermode
     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] schedule_tail
     0.00%  DPU_MRAM_0102    [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  DPU_MRAM_0102    [kernel.kallsyms]     [k] schedule_tail
     0.00%  DPU_MRAM_0103    [kernel.kallsyms]     [k] finish_task_switch
     0.00%  DPU_MRAM_0103    [kernel.kallsyms]     [k] schedule_tail
     0.00%  DPU_POLL_0000    [kernel.kallsyms]     [k] finish_task_switch
     0.00%  DPU_POLL_0000    [kernel.kallsyms]     [k] recalc_sigpending_tsk
     0.00%  DPU_POLL_0001    [kernel.kallsyms]     [k] __list_del_entry_valid
     0.00%  DPU_POLL_0001    [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  DPU_POLL_0003    [kernel.kallsyms]     [k] finish_task_switch
     0.00%  DPU_POLL_0003    [kernel.kallsyms]     [k] recalc_sigpending
     0.00%  DPU_WORK_0000    [kernel.kallsyms]     [k] finish_task_switch
     0.00%  DPU_WORK_0000    [kernel.kallsyms]     [k] schedule_tail
     0.00%  G1 Refine#1      [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.00%  G1 Refine#1      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#10     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#11     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#12     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#13     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#15     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#16     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#17     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#17     [kernel.kallsyms]     [k] schedule_tail
     0.00%  G1 Refine#18     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#2      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#2      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#20     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#20     [kernel.kallsyms]     [k] schedule_tail
     0.00%  G1 Refine#21     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#21     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#3      [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.00%  G1 Refine#3      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#5      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#5      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#7      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#11     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#12     [kernel.kallsyms]     [k] do_futex
     0.00%  GC Thread#12     [kernel.kallsyms]     [k] futex_wait
     0.00%  GC Thread#13     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  GC Thread#15     [kernel.kallsyms]     [k] futex_wake
     0.00%  GC Thread#16     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#16     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  GC Thread#17     [kernel.kallsyms]     [k] drop_futex_key_refs.isra.18
     0.00%  GC Thread#18     [kernel.kallsyms]     [k] do_futex
     0.00%  GC Thread#18     [kernel.kallsyms]     [k] hrtimer_active
     0.00%  GC Thread#19     [kernel.kallsyms]     [k] futex_wait_queue_me
     0.00%  GC Thread#2      [kernel.kallsyms]     [k] do_huge_pmd_anonymous_page
     0.00%  GC Thread#21     [kernel.kallsyms]     [k] futex_wait_queue_me
     0.00%  GC Thread#22     [kernel.kallsyms]     [k] schedule
     0.00%  GC Thread#5      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#6      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#6      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  GC Thread#7      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  GC Thread#7      [kernel.kallsyms]     [k] futex_wait
     0.00%  GC Thread#8      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#9      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#9      libpthread-2.28.so    [.] __pthread_mutex_cond_lock
     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] finish_task_switch
     0.00%  VM Thread        libjvm.so             [.] G1RemSet::merge_heap_roots
     0.00%  java             [kernel.kallsyms]     [k] do_futex
     0.00%  java             [kernel.kallsyms]     [k] finish_wait
     0.00%  java             [kernel.kallsyms]     [k] recalc_sigpending_tsk
     0.00%  perf_4.19        [kernel.kallsyms]     [k] perf_event_exec
     0.00%  DPU_POLL_0001    [kernel.kallsyms]     [k] finish_task_switch
     0.00%  DPU_POLL_0001    [kernel.kallsyms]     [k] futex_wait
     0.00%  G1 Refine#0      [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#14     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  G1 Refine#18     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#20     [kernel.kallsyms]     [k] finish_task_switch
     0.00%  G1 Refine#20     [kernel.kallsyms]     [k] idle_cpu
     0.00%  G1 Refine#7      [kernel.kallsyms]     [k] __schedule
     0.00%  G1 Refine#8      [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#10     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#12     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#14     [kernel.kallsyms]     [k] __schedule
     0.00%  GC Thread#14     [kernel.kallsyms]     [k] schedule
     0.00%  GC Thread#15     [kernel.kallsyms]     [k] cpuacct_account_field
     0.00%  GC Thread#15     libjvm.so             [.] Mutex::lock
     0.00%  GC Thread#16     [kernel.kallsyms]     [k] __schedule
     0.00%  GC Thread#17     [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  GC Thread#19     [kernel.kallsyms]     [k] __x64_sys_futex
     0.00%  GC Thread#19     [kernel.kallsyms]     [k] reschedule_interrupt
     0.00%  GC Thread#22     [kernel.kallsyms]     [k] do_syscall_64
     0.00%  GC Thread#22     [kernel.kallsyms]     [k] scheduler_ipi
     0.00%  GC Thread#22     libpthread-2.28.so    [.] __lll_lock_wait
     0.00%  GC Thread#4      [kernel.kallsyms]     [k] schedule
     0.00%  Sweeper thread   [kernel.kallsyms]     [k] finish_task_switch
     0.00%  VM Thread        [kernel.kallsyms]     [k] __x64_sys_futex


# Samples: 0  of event 'mem-loads'
# Event count (approx.): 0
#
# Overhead  Command  Shared Object  Symbol
# ........  .......  .............  ......
#


# Samples: 75K of event 'mem-stores'
# Event count (approx.): 442146722
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                       
# ........  ...............  ....................  .............................................................................................................................................................................
#
     7.02%  java             perf-15143.map        [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     3.71%  java             perf-15143.map        [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     2.31%  java             libdpuhw.so.2023.1    [.] xeon_sp_read_from_cis
     1.84%  java             perf-15143.map        [.] java.lang.String[] java.lang.String.split(java.lang.String, int)
     1.74%  G1 Refine#0      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     1.61%  java             libdpu.so.0.0         [.] compute_masks
     1.51%  GC Thread#11     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.50%  GC Thread#13     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.47%  java             perf-15143.map        [.] java.util.ArrayList pim.algorithm.BSTTester.readArrayList()
     1.46%  java             perf-15143.map        [.] Interpreter
     1.42%  GC Thread#17     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.40%  GC Thread#14     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.38%  java             perf-15143.map        [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     1.29%  GC Thread#3      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.27%  GC Thread#8      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.22%  GC Thread#21     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.21%  java             libdpu.so.0.0         [.] determine_if_commands_are_finished
     1.20%  GC Thread#6      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.15%  GC Thread#7      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.14%  GC Thread#22     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.13%  java             perf-15143.map        [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     1.13%  GC Thread#18     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.96%  java             perf-15143.map        [.] int java.lang.Integer.parseInt(java.lang.String, int)
     0.96%  GC Thread#12     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.96%  java             perf-15143.map        [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     0.93%  GC Thread#4      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.91%  GC Thread#19     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.87%  GC Thread#5      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.86%  GC Thread#20     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.78%  GC Thread#10     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.70%  G1 Refine#1      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.69%  GC Thread#16     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.68%  java             libdpu.so.0.0         [.] next_ci
     0.58%  GC Thread#2      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.52%  G1 Refine#0      libjvm.so             [.] OtherRegionsTable::add_reference
     0.52%  GC Thread#9      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.50%  java             libdpu.so.0.0         [.] exec_cmd
     0.50%  GC Thread#16     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.49%  GC Thread#15     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.49%  GC Thread#18     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.48%  G1 Refine#0      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.47%  G1 Refine#5      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.46%  GC Thread#9      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.43%  C2 CompilerThre  libjvm.so             [.] IndexSetIterator::advance_and_next
     0.42%  GC Thread#6      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.41%  G1 Refine#6      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.40%  G1 Refine#7      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.40%  G1 Refine#3      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.39%  java             libdpu.so.0.0         [.] ufi_wram_write
     0.39%  G1 Refine#4      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.38%  GC Thread#13     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.38%  GC Thread#11     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.37%  GC Thread#1      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.37%  java             perf-15143.map        [.] pim.algorithm.BSTBuilder$Pair pim.algorithm.IntIntValuePairGenerator.genPair()
     0.37%  java             libdpu.so.0.0         [.] ci_commit_commands
     0.36%  GC Thread#17     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.35%  G1 Refine#1      libjvm.so             [.] OtherRegionsTable::add_reference
     0.35%  G1 Refine#2      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.34%  GC Thread#19     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.33%  GC Thread#4      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.33%  GC Thread#15     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.33%  java             libdpu.so.0.0         [.] ci_update_commands
     0.33%  GC Thread#2      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.33%  java             perf-15143.map        [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     0.32%  GC Thread#0      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.32%  java             perf-15143.map        [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.31%  GC Thread#7      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.30%  GC Thread#5      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.30%  GC Thread#8      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.29%  GC Thread#21     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.29%  GC Thread#14     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.29%  GC Thread#19     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.29%  java             libdpu.so.0.0         [.] UFI_exec_write_structure
     0.28%  G1 Refine#17     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.27%  GC Thread#3      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.26%  G1 Refine#13     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.26%  GC Thread#6      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.25%  GC Thread#22     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.25%  GC Thread#8      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.25%  G1 Refine#1      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.24%  GC Thread#10     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.24%  G1 Refine#2      libjvm.so             [.] OtherRegionsTable::add_reference
     0.23%  G1 Refine#12     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.23%  java             perf-15143.map        [.] java.util.HashMap$Node java.util.HashMap.getNode(java.lang.Object)
     0.23%  G1 Refine#16     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.22%  G1 Refine#14     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.22%  java             perf-15143.map        [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     0.22%  GC Thread#3      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.22%  GC Thread#22     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.21%  G1 Refine#15     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.20%  GC Thread#0      libjvm.so             [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.20%  GC Thread#12     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.20%  GC Thread#21     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.19%  GC Thread#4      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.19%  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::interfere_with_live
     0.19%  GC Thread#18     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.19%  G1 Refine#3      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.19%  GC Thread#20     libjvm.so             [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.18%  GC Thread#16     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.18%  G1 Refine#3      libjvm.so             [.] OtherRegionsTable::add_reference
     0.18%  C1 CompilerThre  libjvm.so             [.] resource_allocate_bytes
     0.18%  GC Thread#15     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.18%  java             libdpu.so.0.0         [.] __vc
     0.18%  java             libdpuhw.so.2023.1    [.] hw_update_commands
     0.18%  G1 Refine#5      libjvm.so             [.] OtherRegionsTable::add_reference
     0.17%  GC Thread#12     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.17%  java             perf-15143.map        [.] StubRoutines (2)
     0.17%  java             perf-15143.map        [.] java.lang.Object java.util.HashMap.put(java.lang.Object, java.lang.Object)
     0.17%  G1 Refine#4      libjvm.so             [.] OtherRegionsTable::add_reference
     0.16%  GC Thread#2      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.16%  C2 CompilerThre  ld-2.28.so            [.] _dl_update_slotinfo
     0.16%  VM Thread        [kernel.kallsyms]     [k] perf_event_alloc
     0.16%  java             perf-15143.map        [.] int java.lang.StringLatin1.indexOf(byte[], int, int)
     0.16%  G1 Refine#0      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.16%  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::post_allocate_copy_removal
     0.16%  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::merge_multidefs
     0.15%  java             libdpu.so.0.0         [.] debug_record_last_cmd
     0.15%  GC Thread#20     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.15%  G1 Refine#4      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.15%  GC Thread#5      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.15%  GC Thread#1      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.15%  GC Thread#5      libjvm.so             [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.15%  G1 Refine#5      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.15%  G1 Refine#0      libjvm.so             [.] G1RemSet::clean_card_before_refine
     0.15%  C1 CompilerThre  ld-2.28.so            [.] _dl_update_slotinfo
     0.14%  G1 Refine#9      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
