# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 56K of event 'cache-references'
# Event count (approx.): 25757743
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                    
# ........  ...............  ....................  ..........................................................................................................................................................
#
     0.01%  G1 Refine#17     libjvm.so           [.] G1RemSet::clean_card_before_refine
     0.01%  GC Thread#9      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  VM Thread        libjvm.so           [.] Mutex::lock_without_safepoint_check
     0.01%  G1 Refine#22     libjvm.so           [.] G1BlockOffsetTablePart::alloc_block_work
     0.01%  G1 Refine#0      [kernel.kallsyms]   [k] refcount_sub_and_test_checked
     0.01%  GC Thread#6      [kernel.kallsyms]   [k] get_page_from_freelist
     0.01%  VM Thread        [kernel.kallsyms]   [k] __follow_mount_rcu.isra.37.part.38
     0.01%  G1 Refine#17     [kernel.kallsyms]   [k] x86_reserve_hardware
     0.01%  C2 CompilerThre  [kernel.kallsyms]   [k] mm_update_next_owner
     0.01%  G1 Refine#14     libjvm.so           [.] G1RemSet::clean_card_before_refine
     0.01%  GC Thread#6      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ScanCardClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.01%  VM Thread        [kernel.kallsyms]   [k] anon_vma_interval_tree_iter_first
     0.01%  G1 Refine#0      [kernel.kallsyms]   [k] migrate_page_copy
     0.01%  GC Thread#8      [kernel.kallsyms]   [k] get_page_from_freelist
     0.01%  java             ld-2.28.so          [.] do_lookup_x
     0.01%  VM Thread        libjvm.so           [.] G1CollectedHeap::gc_epilogue
     0.01%  G1 Refine#12     [kernel.kallsyms]   [k] perf_event_alloc
     0.01%  java             perf-4009.map       [.] java.lang.Object pim.algorithm.BSTBuilder$Pair.getKey()
     0.01%  C2 CompilerThre  libjvm.so           [.] Parse::create_entry_map
     0.01%  G1 Refine#4      [kernel.kallsyms]   [k] rb_next
     0.01%  GC Thread#1      libc-2.28.so        [.] __memmove_sse2_unaligned_erms
     0.01%  java             libjvm.so           [.] SystemDictionary::register_loader
     0.01%  C2 CompilerThre  libjvm.so           [.] GraphKit::replace_in_map
     0.01%  GC Thread#9      libjvm.so           [.] G1PostEvacuateCollectionSetCleanupTask2::RedirtyLoggedCardsTask::do_work
     0.01%  G1 Refine#9      libjvm.so           [.] G1HotCardCache::insert
     0.01%  java             [kernel.kallsyms]   [k] mm_update_next_owner
     0.01%  java             ld-2.28.so          [.] _dl_lookup_symbol_x
     0.01%  java             libjvm.so           [.] os::pd_commit_memory
     0.01%  GC Thread#10     libjvm.so           [.] G1MergeHeapRootsTask::work
     0.01%  G1 Refine#16     libjvm.so           [.] G1BlockOffsetTablePart::alloc_block_work
     0.01%  java             libjvm.so           [.] Method::build_method_counters
     0.01%  VM Thread        [kernel.kallsyms]   [k] __list_del_entry_valid
     0.01%  VM Thread        [kernel.kallsyms]   [k] set_task_cpu
     0.01%  VM Thread        libc-2.28.so        [.] __memcpy_avx_unaligned_erms
     0.01%  G1 Refine#14     libjvm.so           [.] G1BlockOffsetTablePart::alloc_block_work
     0.01%  G1 Refine#16     [kernel.kallsyms]   [k] new_slab
     0.01%  G1 Refine#17     [kernel.kallsyms]   [k] memset_erms
     0.01%  java             libjvm.so           [.] ThreadsSMRSupport::free_list
     0.01%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_local
     0.01%  C1 CompilerThre  [kernel.kallsyms]   [k] clear_page_erms
     0.01%  java             [kernel.kallsyms]   [k] __perf_addr_filters_adjust
     0.01%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.01%  G1 Refine#4      [kernel.kallsyms]   [k] memcg_kmem_put_cache
     0.01%  VM Thread        libjvm.so           [.] G1BatchedGangTask::G1BatchedGangTask
     0.01%  C2 CompilerThre  libjvm.so           [.] PhiNode::unique_input
     0.01%  C2 CompilerThre  libc-2.28.so        [.] memcpy@GLIBC_2.2.5
     0.01%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.01%  java             [kernel.kallsyms]   [k] entry_SYSCALL_64
     0.01%  G1 Refine#19     libjvm.so           [.] G1CardCounts::add_card_count
     0.01%  C1 CompilerThre  libjvm.so           [.] Instruction::as_Constant
     0.01%  VM Periodic Tas  libpthread-2.28.so  [.] __condvar_dec_grefs
     0.01%  C2 CompilerThre  libjvm.so           [.] Node::out_grow
     0.01%  C2 CompilerThre  libjvm.so           [.] GraphKit::stopped
     0.01%  C2 CompilerThre  libpthread-2.28.so  [.] __pthread_mutex_lock
     0.01%  VM Thread        libjvm.so           [.] G1RemSet::prepare_for_scan_heap_roots
     0.01%  G1 Refine#7      libjvm.so           [.] oopDesc::size_given_klass
     0.01%  G1 Service       libjvm.so           [.] G1CollectionSet::iterate
     0.01%  VM Thread        libjvm.so           [.] AgeTable::print_age_table
     0.01%  GC Thread#12     libjvm.so           [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.01%  C2 CompilerThre  libjvm.so           [.] Matcher::init_spill_mask
     0.01%  G1 Refine#13     [kernel.kallsyms]   [k] clear_page_erms
     0.01%  G1 Refine#6      [kernel.kallsyms]   [k] perf_iterate_ctx
     0.01%  java             libjvm.so           [.] Events::log_deopt_message
     0.01%  java             libpthread-2.28.so  [.] __pthread_mutex_lock
     0.01%  G1 Refine#4      libjvm.so           [.] oopDesc::size
     0.01%  G1 Refine#0      [kernel.kallsyms]   [k] copy_page
     0.01%  G1 Refine#11     libjvm.so           [.] G1CardCounts::add_card_count
     0.01%  GC Thread#22     libjvm.so           [.] OtherRegionsTable::iterate<G1MergeHeapRootsTask::G1MergeCardSetClosure>
     0.01%  C2 CompilerThre  libjvm.so           [.] Node::grow
     0.01%  GC Thread#6      libjvm.so           [.] G1PostEvacuateCollectionSetCleanupTask2::RedirtyLoggedCardsTask::do_work
     0.01%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::PhaseChaitin
     0.01%  C2 CompilerThre  libjvm.so           [.] OopFlow::compute_reach
     0.01%  C2 CompilerThre  libc-2.28.so        [.] __memset_avx2_erms
     0.01%  G1 Refine#18     [kernel.kallsyms]   [k] copy_page
     0.01%  GC Thread#0      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)0, false>::do_oop
     0.01%  C1 CompilerThre  libjvm.so           [.] BlockBegin::iterate_preorder
     0.01%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.01%  GC Thread#15     [kernel.kallsyms]   [k] __handle_mm_fault
     0.01%  C1 CompilerThre  libjvm.so           [.] CompiledMethod::oops_reloc_begin
     0.01%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::init
     0.01%  DPU_WORK_0000    [kernel.kallsyms]   [k] perf_iterate_ctx
     0.01%  VM Thread        libjvm.so           [.] GCId::current_or_undefined
     0.01%  VM Thread        [kernel.kallsyms]   [k] _raw_spin_lock
     0.01%  C2 CompilerThre  ld-2.28.so          [.] _dl_update_slotinfo
     0.01%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::sched_call
     0.01%  GC Thread#20     [kernel.kallsyms]   [k] __free_pages_ok
     0.01%  java             [kernel.kallsyms]   [k] _raw_spin_lock
     0.01%  G1 Refine#20     libjvm.so           [.] oopDesc::size_given_klass
     0.01%  java             libjvm.so           [.] fileStream::write
     0.01%  C1 CompilerThre  libjvm.so           [.] LIRGenerator::do_Goto
     0.01%  C1 CompilerThre  libjvm.so           [.] LIR_OpVisitState::visit
     0.01%  G1 Refine#4      libjvm.so           [.] PtrQueueSet::deallocate_buffer
     0.01%  C2 CompilerThre  libjvm.so           [.] MachPrologNode::reloc
     0.01%  C2 CompilerThre  libjvm.so           [.] Node::remove_dead_region
     0.01%  VM Thread        [kernel.kallsyms]   [k] __mod_node_page_state
     0.01%  C2 CompilerThre  libjvm.so           [.] Matcher::match
     0.01%  G1 Refine#3      [kernel.kallsyms]   [k] inherit_event.isra.113
     0.01%  G1 Refine#18     libjvm.so           [.] G1RemSet::clean_card_before_refine
     0.01%  C1 CompilerThre  [kernel.kallsyms]   [k] new_slab
     0.01%  C2 CompilerThre  libjvm.so           [.] Node_Array::insert
     0.01%  G1 Refine#20     [kernel.kallsyms]   [k] inherit_event.isra.113
     0.00%  G1 Refine#19     libjvm.so           [.] oopDesc::size_given_klass
     0.00%  GC Thread#14     libjvm.so           [.] G1PostEvacuateCollectionSetCleanupTask2::RedirtyLoggedCardsTask::do_work
     0.00%  Common-Cleaner   libjvm.so           [.] ClassLoaderMetaspace::allocate
     0.00%  G1 Refine#1      libjvm.so           [.] oopDesc::size
     0.00%  GC Thread#20     [kernel.kallsyms]   [k] copy_page
     0.00%  C1 CompilerThre  libjvm.so           [.] IntervalWalker::walk_to
     0.00%  C1 CompilerThre  [kernel.kallsyms]   [k] perf_event_init_task
     0.00%  G1 Refine#11     libjvm.so           [.] G1BlockOffsetTablePart::alloc_block_work
     0.00%  java             [kernel.kallsyms]   [k] mpx_unmapped_area_check
     0.00%  C1 CompilerThre  libjvm.so           [.] LIRGenerator::move_to_phi
     0.00%  G1 Refine#19     libjvm.so           [.] G1HotCardCache::insert
     0.00%  C2 CompilerThre  libjvm.so           [.] SuperWord::SuperWord
     0.00%  G1 Refine#3      [kernel.kallsyms]   [k] hugepage_vma_check
     0.00%  G1 Refine#18     [kernel.kallsyms]   [k] x86_reserve_hardware
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late_post_work
     0.00%  VM Thread        [kernel.kallsyms]   [k] rcu_all_qs
     0.00%  G1 Refine#6      [kernel.kallsyms]   [k] __init_waitqueue_head
     0.00%  C1 CompilerThre  libjvm.so           [.] Assembler::mov64
     0.00%  GC Thread#15     libjvm.so           [.] OopOopIterateBoundedDispatch<G1ScanCardClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.00%  G1 Refine#1      libjvm.so           [.] G1DirtyCardQueueSet::refine_buffer
     0.00%  java             [kernel.kallsyms]   [k] __list_del_entry_valid
     0.00%  G1 Refine#6      [kernel.kallsyms]   [k] setup_object.isra.63
     0.00%  C2 CompilerThre  libjvm.so           [.] Dict::Dict
     0.00%  GC Thread#8      libjvm.so           [.] G1PostEvacuateCollectionSetCleanupTask2::RedirtyLoggedCardsTask::do_work
     0.00%  C2 CompilerThre  [kernel.kallsyms]   [k] filemap_map_pages
     0.00%  C1 CompilerThre  libjvm.so           [.] PhiResolver::create_node
     0.00%  VM Thread        [kernel.kallsyms]   [k] copy_process.part.37
     0.00%  G1 Refine#10     libjvm.so           [.] G1HotCardCache::insert
     0.00%  G1 Refine#4      [kernel.kallsyms]   [k] perf_iterate_ctx
     0.00%  G1 Refine#22     libjvm.so           [.] G1RemSet::clean_card_before_refine
     0.00%  java             libjvm.so           [.] SignatureStream::skip_whole_array_prefix
     0.00%  C1 CompilerThre  libjvm.so           [.] Assembler::nop
     0.00%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.00%  C2 CompilerThre  libjvm.so           [.] __tls_get_addr@plt
     0.00%  C2 CompilerThre  libjvm.so           [.] resource_allocate_bytes
     0.00%  G1 Refine#4      [kernel.kallsyms]   [k] new_slab
     0.00%  java             [kernel.kallsyms]   [k] kmem_cache_free
     0.00%  java             libc-2.28.so        [.] _dl_addr
     0.00%  G1 Refine#19     [kernel.kallsyms]   [k] x86_reserve_hardware
     0.00%  G1 Refine#7      [kernel.kallsyms]   [k] perf_event_init_task
     0.00%  G1 Refine#17     libjvm.so           [.] oopDesc::size_given_klass
     0.00%  java             ld-2.28.so          [.] _dl_fini
     0.00%  C1 CompilerThre  libjvm.so           [.] BlockListBuilder::handle_exceptions
     0.00%  G1 Refine#6      [kernel.kallsyms]   [k] kmem_cache_alloc_trace
     0.00%  java             libjvm.so           [.] G1DirtyCardQueueSet::handle_completed_buffer
     0.00%  VM Thread        libjvm.so           [.] OopStorage::BasicParState::BasicParState
     0.00%  G1 Refine#2      libjvm.so           [.] G1DirtyCardQueueSet::refine_buffer
     0.00%  C2 CompilerThre  libjvm.so           [.] Type::remove_speculative
     0.00%  Common-Cleaner   libjvm.so           [.] LinkResolver::lookup_method_in_klasses
     0.00%  java             libjvm.so           [.] Method::bci_from
     0.00%  C1 CompilerThre  [kernel.kallsyms]   [k] rb_next
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseMacroExpand::expand_subtypecheck_node
     0.00%  C1 CompilerThre  libjvm.so           [.] BlockBegin::try_merge
     0.00%  G1 Refine#10     libjvm.so           [.] G1CardCounts::add_card_count
     0.00%  java             [kernel.kallsyms]   [k] ktime_get_update_offsets_now
     0.00%  G1 Refine#19     [kernel.kallsyms]   [k] memset_erms
     0.00%  GC Thread#13     libpthread-2.28.so  [.] __pthread_mutex_unlock_usercnt
     0.00%  G1 Refine#17     [kernel.kallsyms]   [k] get_page_from_freelist
     0.00%  G1 Refine#19     libjvm.so           [.] G1RemSet::clean_card_before_refine
     0.00%  GC Thread#1      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  VM Thread        [kernel.kallsyms]   [k] kmem_cache_alloc_trace
     0.00%  C2 CompilerThre  libjvm.so           [.] CmpPNode::sub
     0.00%  G1 Refine#2      libjvm.so           [.] PtrQueueSet::deallocate_buffer
     0.00%  java             libjvm.so           [.] Label::patch_instructions
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] get_page_from_freelist
     0.00%  C2 CompilerThre  [kernel.kallsyms]   [k] _raw_spin_lock
     0.00%  C2 CompilerThre  libjvm.so           [.] PhiNode::Ideal
     0.00%  C2 CompilerThre  libjvm.so           [.] Type::hashcons
     0.00%  G1 Refine#11     libjvm.so           [.] oopDesc::size_given_klass
     0.00%  C2 CompilerThre  libjvm.so           [.] State::_sub_Op_LoadP
     0.00%  C2 CompilerThre  libjvm.so           [.] Matcher::Label_Root
     0.00%  VM Thread        libc-2.28.so        [.] __strcpy_sse2_unaligned
     0.00%  java             [kernel.kallsyms]   [k] kmem_cache_alloc
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] unlock_page
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.00%  GC Thread#22     libjvm.so           [.] OopOopIterateBoundedDispatch<G1ScanCardClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.00%  C1 CompilerThre  libpthread-2.28.so  [.] __pthread_mutex_lock
     0.00%  VM Thread        [kernel.kallsyms]   [k] find_busiest_group
     0.00%  G1 Refine#16     [kernel.kallsyms]   [k] x86_reserve_hardware
     0.00%  java             libjvm.so           [.] Symbol::as_klass_external_name
     0.00%  C1 CompilerThre  [kernel.kallsyms]   [k] __mutex_init
     0.00%  java             [kernel.kallsyms]   [k] __alloc_file
     0.00%  C1 CompilerThre  libc-2.28.so        [.] __libc_malloc
     0.00%  C2 CompilerThre  libjvm.so           [.] Node::jvms
     0.00%  C2 CompilerThre  libjvm.so           [.] Node::set_req
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::split_if_with_blocks
     0.00%  java             libjvm.so           [.] SystemDictionaryShared::check_verification_constraints
     0.00%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     0.00%  C1 CompilerThre  libjvm.so           [.] NullCheckEliminator::iterate_one
     0.00%  G1 Refine#20     [kernel.kallsyms]   [k] rb_next
     0.00%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::ciObjectFactory
     0.00%  C2 CompilerThre  libjvm.so           [.] TraceTime::TraceTime
     0.00%  GC Thread#3      [kernel.kallsyms]   [k] get_page_from_freelist
     0.00%  G1 Refine#13     [kernel.kallsyms]   [k] new_slab
     0.00%  G1 Refine#22     libjvm.so           [.] oopDesc::size_given_klass
     0.00%  java             libjvm.so           [.] ScopeDesc::decode_monitor_values
     0.00%  java             libz.so.1.2.11      [.] inflate
     0.00%  VM Thread        libjvm.so           [.] ReferenceProcessor::process_discovered_references
     0.00%  G1 Refine#20     libjvm.so           [.] G1BlockOffsetTablePart::alloc_block_work
     0.00%  java             [kernel.kallsyms]   [k] page_remove_rmap
     0.00%  GC Thread#2      libjvm.so           [.] G1MergeHeapRootsTask::work
     0.00%  G1 Refine#6      libjvm.so           [.] oopDesc::size
     0.00%  C2 CompilerThre  libjvm.so           [.] Parse::init_blocks
     0.00%  C2 CompilerThre  libjvm.so           [.] State::_sub_Op_CmpL
     0.00%  Common-Cleaner   libjvm.so           [.] ObjectSynchronizer::inflate
     0.00%  G1 Refine#18     libjvm.so           [.] G1CardCounts::add_card_count
     0.00%  GC Thread#14     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  C2 CompilerThre  libjvm.so           [.] ciInstanceKlass::compute_nonstatic_fields_impl
     0.00%  GC Thread#2      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ScanCardClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.00%  C1 CompilerThre  libjvm.so           [.] MethodLiveness::init_basic_blocks
     0.00%  C1 CompilerThre  libjvm.so           [.] ciInstance::field_value_impl
     0.00%  C2 CompilerThre  libjvm.so           [.] RegionNode::Ideal
     0.00%  G1 Refine#3      libjvm.so           [.] QuickSort::inner_sort<false, unsigned char*, int (*)(unsigned char const*, unsigned char const*)>
     0.00%  C2 CompilerThre  libjvm.so           [.] Compile::final_graph_reshaping_main_switch
     0.00%  VM Thread        libjvm.so           [.] G1DirtyCardQueueSet::concatenate_logs()::ConcatenateThreadLogClosure::do_thread
     0.00%  C2 CompilerThre  libjvm.so           [.] ProjNode::hash
     0.00%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     0.00%  java             libjvm.so           [.] OptoRuntime::new_instance_C
     0.00%  G1 Refine#16     [kernel.kallsyms]   [k] rb_next
     0.00%  G1 Refine#4      [kernel.kallsyms]   [k] select_task_rq_fair
     0.00%  G1 Refine#4      [kernel.kallsyms]   [k] x86_pmu_event_init
     0.00%  java             libjvm.so           [.] __tls_get_addr@plt
     0.00%  C2 CompilerThre  libjvm.so           [.] Type::make_from_constant
     0.00%  C1 CompilerThre  libjvm.so           [.] GrowableArrayResourceAllocator::allocate
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] perf_event_init_task
     0.00%  VM Thread        [kernel.kallsyms]   [k] rb_next
     0.00%  VM Thread        libjvm.so           [.] TruncatedSeq::oldest
     0.00%  GC Thread#4      libjvm.so           [.] G1MergeHeapRootsTask::G1MergeLogBufferCardsClosure::do_card_ptr
     0.00%  GC Thread#4      libjvm.so           [.] G1ParScanThreadState::G1ParScanThreadState
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] recalc_sigpending_tsk
     0.00%  G1 Refine#18     libjvm.so           [.] oopDesc::size
     0.00%  G1 Refine#4      [kernel.kallsyms]   [k] idr_get_free
     0.00%  GC Thread#1      [kernel.kallsyms]   [k] page_fault
     0.00%  GC Thread#20     libjvm.so           [.] GenericTaskQueueSet<OverflowTaskQueue<ScannerTask, (MEMFLAGS)5, 131072u>, (MEMFLAGS)5>::tasks
     0.00%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_start
     0.00%  C2 CompilerThre  libjvm.so           [.] TypeVect::hash
     0.00%  G1 Refine#14     libjvm.so           [.] oopDesc::size
     0.00%  GC Thread#21     [kernel.kallsyms]   [k] ktime_get
     0.00%  G1 Refine#16     [kernel.kallsyms]   [k] __init_waitqueue_head
     0.00%  VM Thread        libjvm.so           [.] AdaptiveWeightedAverage::sample
     0.00%  G1 Refine#12     libjvm.so           [.] G1CardCounts::add_card_count
     0.00%  C1 CompilerThre  libjvm.so           [.] BufferBlob::create
     0.00%  C1 CompilerThre  libjvm.so           [.] GrowableArrayWithAllocator<ResolveNode*, GrowableArray<ResolveNode*> >::grow
     0.00%  java             libc-2.28.so        [.] _IO_vfprintf
     0.00%  java             libjvm.so           [.] MemAllocator::allocate
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::global_code_motion
     0.00%  C1 CompilerThre  libjvm.so           [.] Dependencies::initialize
     0.00%  C1 CompilerThre  libjvm.so           [.] LinearScanWalker::find_optimal_split_pos
     0.00%  java             libjvm.so           [.] VM_Version_StubGenerator::generate_get_cpu_info
     0.00%  G1 Refine#3      libjvm.so           [.] G1DirtyCardQueueSet::refine_buffer
     0.00%  C2 CompilerThre  libjvm.so           [.] ciTypeFlow::StateVector::do_getstatic
     0.00%  VM Thread        [kernel.kallsyms]   [k] intel_pmu_bts_config
     0.00%  C2 CompilerThre  libjvm.so           [.] Compile::print_method
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] init_numa_balancing
     0.00%  GC Thread#12     [kernel.kallsyms]   [k] acct_collect
     0.00%  C2 CompilerThre  [kernel.kallsyms]   [k] enqueue_task_fair
     0.00%  java             libjvm.so           [.] MemAllocator::allocate_inside_tlab_slow
     0.00%  C2 CompilerThre  libjvm.so           [.] IfNode::Value
     0.00%  C1 CompilerThre  libjvm.so           [.] BlockListBuilder::make_block_at
     0.00%  java             [kernel.kallsyms]   [k] __x64_sys_newfstat
     0.00%  C2 CompilerThre  libjvm.so           [.] CheckCastPPNode::Opcode
     0.00%  G1 Refine#20     libjvm.so           [.] G1DirtyCardQueueSet::refine_buffer
     0.00%  G1 Refine#16     libjvm.so           [.] G1CardCounts::add_card_count
     0.00%  G1 Refine#3      libc-2.28.so        [.] arena_get2.part.4
     0.00%  G1 Refine#20     [kernel.kallsyms]   [k] new_slab
     0.00%  VM Periodic Tas  libjvm.so           [.] PeriodicTask::real_time_tick
     0.00%  C1 CompilerThre  libjvm.so           [.] ciEnv::comp_level
     0.00%  java             libjvm.so           [.] SymbolTable::new_symbol
     0.00%  C2 CompilerThre  libjvm.so           [.] VectorSet::grow
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.00%  java             [kernel.kallsyms]   [k] shmem_write_end
     0.00%  C1 CompilerThre  libjvm.so           [.] CompileBroker::collect_statistics
     0.00%  VM Thread        [kernel.kallsyms]   [k] enqueue_entity
     0.00%  java             libjvm.so           [.] frame::is_compiled_frame
     0.00%  C1 CompilerThre  libjvm.so           [.] Assembler::subq
     0.00%  C1 CompilerThre  libjvm.so           [.] ConstMethod::exception_table_length
     0.00%  C1 CompilerThre  libjvm.so           [.] Dependencies::DepStream::next
     0.00%  C2 CompilerThre  libjvm.so           [.] BoolNode::Ideal
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] rb_next
     0.00%  VM Thread        libc-2.28.so        [.] __libc_malloc
     0.00%  C2 CompilerThre  libjvm.so           [.] Compile::call_generator
     0.00%  C2 CompilerThre  libjvm.so           [.] AndINode::max_opcode
     0.00%  G1 Refine#17     libjvm.so           [.] G1HotCardCache::insert
     0.00%  G1 Refine#6      libjvm.so           [.] G1DirtyCardQueueSet::refine_buffer
     0.00%  G1 Refine#11     libjvm.so           [.] oopDesc::size
     0.00%  G1 Refine#9      [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.00%  java             [kernel.kallsyms]   [k] strlen
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::fill_buffer
     0.00%  G1 Refine#19     [kernel.kallsyms]   [k] mutex_lock
     0.00%  C2 CompilerThre  libjvm.so           [.] CallStaticJavaNode::Ideal
     0.00%  G1 Refine#3      [kernel.kallsyms]   [k] rb_next
     0.00%  C1 CompilerThre  libjvm.so           [.] GraphBuilder::arithmetic_op
     0.00%  C2 CompilerThre  libjvm.so           [.] JVMState::clone_deep
     0.00%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.00%  G1 Refine#5      libc-2.28.so        [.] _IO_setb
     0.00%  java             ld-2.28.so          [.] strcmp
     0.00%  C2 CompilerThre  libjvm.so           [.] Arena::Arealloc
     0.00%  java             [kernel.kallsyms]   [k] update_curr
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseTransform::zerocon
     0.00%  G1 Refine#17     libjvm.so           [.] G1BlockOffsetTablePart::alloc_block_work
     0.00%  java             [kernel.kallsyms]   [k] __d_lookup_rcu
     0.00%  C1 CompilerThre  [kernel.kallsyms]   [k] futex_wait_setup
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] __vma_adjust
     0.00%  C1 CompilerThre  libjvm.so           [.] Relocation::fix_relocation_after_move
     0.00%  G1 Refine#4      libc-2.28.so        [.] __libc_malloc
     0.00%  java             [kernel.kallsyms]   [k] task_clear_jobctl_pending
     0.00%  C2 CompilerThre  [kernel.kallsyms]   [k] __handle_mm_fault
     0.00%  C2 CompilerThre  libjvm.so           [.] Node::clone
     0.00%  C1 CompilerThre  [kernel.kallsyms]   [k] mntget
     0.00%  GC Thread#0      [kernel.kallsyms]   [k] page_fault
     0.00%  G1 Refine#17     [kernel.kallsyms]   [k] kmem_cache_alloc_trace
     0.00%  C2 CompilerThre  libjvm.so           [.] AddPNode::match_edge
     0.00%  C1 CompilerThre  libjvm.so           [.] CompileBroker::possibly_add_compiler_threads
     0.00%  C1 CompilerThre  libjvm.so           [.] vmIntrinsics::is_disabled_by_flags
     0.00%  G1 Refine#5      libjvm.so           [.] QuickSort::inner_sort<false, unsigned char*, int (*)(unsigned char const*, unsigned char const*)>
     0.00%  VM Thread        [kernel.kallsyms]   [k] __mod_zone_page_state
     0.00%  VM Thread        [kernel.kallsyms]   [k] blake2s_compress_generic
     0.00%  VM Thread        libjvm.so           [.] stringStream::write
     0.00%  java             libc-2.28.so        [.] _IO_file_fopen@@GLIBC_2.2.5
     0.00%  G1 Refine#9      [kernel.kallsyms]   [k] rb_next
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] __init_waitqueue_head
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] mutex_unlock
     0.00%  C2 CompilerThre  [kernel.kallsyms]   [k] do_filp_open
     0.00%  GC Thread#20     [kernel.kallsyms]   [k] do_syscall_64
     0.00%  C2 CompilerThre  libjvm.so           [.] ProjNode::is_uncommon_trap_proj
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] memset_erms
     0.00%  G1 Refine#22     libjvm.so           [.] G1CardCounts::add_card_count
     0.00%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::compact
     0.00%  GC Thread#10     [kernel.kallsyms]   [k] __list_add_valid
     0.00%  GC Thread#19     [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.00%  VM Thread        libjvm.so           [.] GCLocker::check_active_before_gc
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] copy_process.part.37
     0.00%  G1 Refine#4      [kernel.kallsyms]   [k] kmem_cache_free
     0.00%  G1 Refine#4      libjvm.so           [.] G1DirtyCardQueueSet::refine_completed_buffer_concurrently
     0.00%  VM Thread        libjvm.so           [.] G1PostEvacuateCollectionSetCleanupTask2::FreeCollectionSetTask::report_statistics
     0.00%  C2 CompilerThre  libjvm.so           [.] BoolNode::Value
     0.00%  C2 CompilerThre  libjvm.so           [.] State::_sub_Op_URShiftI
     0.00%  G1 Refine#0      [kernel.kallsyms]   [k] inherit_task_group.isra.115.part.116
     0.00%  G1 Refine#12     libjvm.so           [.] G1HotCardCache::insert
     0.00%  G1 Refine#8      [kernel.kallsyms]   [k] x86_reserve_hardware
     0.00%  java             libjvm.so           [.] PtrQueueSet::try_enqueue
     0.00%  C2 CompilerThre  libjvm.so           [.] Node::latency
     0.00%  C1 CompilerThre  libjvm.so           [.] LIR_Assembler::reg2mem
     0.00%  C2 CompilerThre  libjvm.so           [.] ResourceObj::operator new
     0.00%  G1 Refine#1      libjvm.so           [.] JfrTraceId::assign_thread_id
